,Tm,ages,W/L%,playoffs,seed,games
0,ATL,29.576,0.620,1,4,50.000
1,BOS,24.316,0.380,0,12,50.000
2,CHI,28.583,0.260,0,15,50.000
3,CLE,26.666,0.440,0,11,50.000
4,DAL,26.053,0.380,0,11,50.000
5,DEN,24.648,0.280,0,12,50.000
6,DET,27.667,0.580,1,5,50.000
7,GSW,28.140,0.420,0,10,50.000
8,HOU,29.602,0.620,1,4,50.000
9,IND,30.772,0.660,1,3,50.000
10,LAC,25.012,0.180,0,13,50.000
11,LAL,27.511,0.620,1,5,50.000
12,MIA,30.252,0.660,1,1,50.000
13,MIL,28.335,0.560,1,7,50.000
14,MIN,27.213,0.500,1,8,50.000
15,NJN,25.980,0.320,0,14,50.000
16,NYK,29.044,0.540,1,8,50.000
17,ORL,28.726,0.660,1,2,50.000
18,PHI,26.032,0.560,1,6,50.000
19,PHO,29.315,0.540,1,6,50.000
20,POR,27.371,0.700,1,3,50.000
21,SAC,26.108,0.540,1,7,50.000
22,SAS,30.080,0.740,1,1,50.000
23,SEA,31.199,0.500,0,9,50.000
24,TOR,27.263,0.460,0,10,50.000
25,UTA,30.336,0.740,1,2,50.000
26,VAN,25.017,0.160,0,14,50.000
27,WAS,29.307,0.360,0,13,50.000
