,Tm,ages,W/L%,playoffs,seed,games
0,ATL,28.491,0.634,1,4,82.000
1,BOS,28.460,0.512,1,8,82.000
2,CHI,26.359,0.573,1,6,82.000
3,CLE,26.122,0.695,1,2,82.000
4,DAL,28.539,0.463,0,9,82.000
5,DEN,29.837,0.537,1,6,82.000
6,DET,28.634,0.768,1,1,82.000
7,GSW,25.954,0.524,1,7,82.000
8,HOU,26.845,0.549,1,5,82.000
9,IND,25.202,0.341,0,10,82.000
10,LAC,24.646,0.256,0,12,82.000
11,LAL,29.526,0.695,1,1,82.000
12,MIA,25.197,0.183,0,13,82.000
13,MIL,28.527,0.598,1,5,82.000
14,NJN,26.840,0.317,0,11,82.000
15,NYK,25.329,0.634,1,3,82.000
16,PHI,27.039,0.561,1,7,82.000
17,PHO,25.695,0.671,1,2,82.000
18,POR,26.944,0.476,1,8,82.000
19,SAC,25.183,0.329,0,10,82.000
20,SAS,25.612,0.256,0,11,82.000
21,SEA,26.292,0.573,1,4,82.000
22,UTA,27.360,0.622,1,3,82.000
23,WSB,26.208,0.488,0,9,82.000
