,Tm,ages,W/L%,playoffs,seed,games
0,ATL,29.351,0.610,1,5,82.000
1,BOS,23.861,0.439,0,12,82.000
2,CHI,31.681,0.756,1,1,82.000
3,CLE,24.565,0.573,1,6,82.000
4,DAL,26.331,0.244,0,10,82.000
5,DEN,26.511,0.134,0,14,82.000
6,DET,27.200,0.451,0,11,82.000
7,GSW,25.870,0.232,0,12,82.000
8,HOU,32.040,0.500,1,8,82.000
9,IND,29.653,0.707,1,2,82.000
10,LAC,25.689,0.207,0,13,82.000
11,LAL,25.751,0.744,1,3,82.000
12,MIA,28.129,0.671,1,3,82.000
13,MIL,27.602,0.439,0,13,82.000
14,MIN,26.416,0.549,1,7,82.000
15,NJN,27.792,0.524,1,8,82.000
16,NYK,30.217,0.524,1,7,82.000
17,ORL,30.814,0.500,0,10,82.000
18,PHI,25.362,0.378,0,14,82.000
19,PHO,28.152,0.683,1,5,82.000
20,POR,26.066,0.561,1,6,82.000
21,SAC,26.625,0.329,0,9,82.000
22,SAS,28.734,0.683,1,4,82.000
23,SEA,31.090,0.744,1,2,82.000
24,TOR,24.794,0.195,0,15,82.000
25,UTA,29.737,0.756,1,1,82.000
26,VAN,26.535,0.232,0,11,82.000
27,WAS,26.733,0.512,0,9,82.000
