,Tm,ages,W/L%,playoffs,seed,games
0,ATL,28.618,0.500,0,9,82.000
1,BOS,30.198,0.634,1,4,82.000
2,CHI,26.120,0.671,1,2,82.000
3,CLE,26.059,0.512,1,7,82.000
4,DAL,29.169,0.573,1,6,82.000
5,DEN,29.482,0.524,1,7,82.000
6,DET,29.495,0.720,1,1,82.000
7,GSW,25.985,0.451,0,10,82.000
8,HOU,27.912,0.500,1,8,82.000
9,IND,26.396,0.512,1,8,82.000
10,LAC,24.517,0.366,0,11,82.000
11,LAL,28.927,0.768,1,1,82.000
12,MIA,24.651,0.220,0,11,82.000
13,MIL,28.122,0.537,1,6,82.000
14,MIN,26.239,0.268,0,13,82.000
15,NJN,26.557,0.207,0,13,82.000
16,NYK,26.451,0.549,1,5,82.000
17,ORL,26.488,0.220,0,12,82.000
18,PHI,27.360,0.646,1,3,82.000
19,PHO,26.703,0.659,1,5,82.000
20,POR,26.669,0.720,1,2,82.000
21,SAC,26.353,0.280,0,12,82.000
22,SAS,26.358,0.683,1,3,82.000
23,SEA,25.563,0.500,0,9,82.000
24,UTA,27.594,0.671,1,4,82.000
25,WSB,27.490,0.378,0,10,82.000
