,Tm,ages,W/L%,playoffs,seed,games
0,ATL,26.050,0.305,0,13,82.000
1,BOS,25.949,0.439,0,9,82.000
2,CHI,23.157,0.183,0,15,82.000
3,CLE,26.856,0.366,0,11,82.000
4,DAL,26.572,0.646,1,5,82.000
5,DEN,27.898,0.488,0,11,82.000
6,DET,27.104,0.390,0,10,82.000
7,GSW,26.591,0.207,0,14,82.000
8,HOU,26.714,0.549,0,9,82.000
9,IND,27.711,0.500,1,8,82.000
10,LAC,24.283,0.378,0,12,82.000
11,LAL,29.192,0.683,1,2,82.000
12,MIA,30.850,0.610,1,3,82.000
13,MIL,28.222,0.634,1,2,82.000
14,MIN,27.435,0.573,1,8,82.000
15,NJN,27.461,0.317,0,12,82.000
16,NYK,29.825,0.585,1,4,82.000
17,ORL,25.951,0.524,1,7,82.000
18,PHI,28.164,0.683,1,1,82.000
19,PHO,28.649,0.622,1,6,82.000
20,POR,30.108,0.610,1,7,82.000
21,SAC,27.059,0.671,1,3,82.000
22,SAS,29.463,0.707,1,1,82.000
23,SEA,27.942,0.537,0,10,82.000
24,TOR,29.921,0.573,1,5,82.000
25,UTA,32.012,0.646,1,4,82.000
26,VAN,26.193,0.280,0,13,82.000
27,WAS,26.965,0.232,0,14,82.000
